row ID,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Row43194,Sale,7.1,16.0,0.0,2.0,2.1,NW,26,NW,NW,11,15,79,58,1020.7,1018.3,8,6,11.7,15.1,No,0
Row43195,Sale,1.9,16.9,0.0,1.2,8.8,ESE,24,NA,E,0,13,97,52,1021.9,1019.8,3,1,6.6,16.5,No,0
Row43196,Sale,3.4,16.9,0.2,0.6,7.9,WNW,20,WNW,W,11,7,97,63,1021.1,1019.6,6,7,6.5,16.1,No,0
Row43197,Sale,3.2,17.3,0.2,2.2,8.3,W,24,WNW,W,13,17,95,40,1023.6,1021.3,2,5,6.3,17.0,No,0
Row43198,Sale,2.7,16.6,0.0,0.8,3.7,SSE,24,NW,SE,11,9,94,56,1023.6,1020.7,7,6,7.3,16.1,No,1
Row43199,Sale,0.4,14.5,0.0,1.4,8.9,E,22,WNW,E,9,17,97,48,1024.9,1022.5,4,,4.9,14.2,No,0
Row43200,Sale,1.7,15.9,0.0,1.4,3.1,E,26,SSW,ESE,4,15,95,65,1017.7,1013.5,5,7,5.0,14.7,No,1
Row43201,Sale,12.1,15.7,1.0,0.2,0.6,E,52,E,ENE,24,22,72,89,1013.6,1014.0,8,8,14.4,14.1,No,1
Row43202,Sale,11.1,16.2,1.2,0.8,2.2,ESE,17,ENE,E,13,11,92,76,1018.9,1017.3,7,6,12.4,15.6,Yes,0
Row43203,Sale,11.8,16.7,14.8,2.0,0.4,ESE,69,ESE,SE,35,37,82,73,1012.1,1013.2,8,8,15.6,15.7,Yes,0
Row43204,Sale,9.7,16.4,0.0,2.0,1.5,E,33,SE,ESE,4,20,87,68,1019.3,1017.6,7,7,14.0,15.0,No,1
Row43205,Sale,5.4,15.4,0.0,1.2,0.4,WNW,19,NW,WNW,11,9,89,69,1022.0,1021.9,7,6,9.6,15.2,No,0
Row43206,Sale,5.8,15.0,0.0,1.2,6.0,W,30,NW,W,7,17,96,74,1023.9,1020.2,7,1,9.3,14.6,No,0
Row43207,Sale,3.6,13.4,0.0,0.8,2.8,WNW,41,WNW,W,11,13,94,51,1021.5,1016.7,5,6,5.5,12.1,No,0
Row43208,Sale,2.2,11.9,0.0,2.0,0.7,W,59,NW,W,17,31,64,84,1007.1,1006.5,7,7,9.5,8.9,No,1
Row43209,Sale,5.3,13.5,3.0,0.2,7.5,W,52,NW,W,20,31,85,63,1019.3,1018.4,2,5,7.1,12.3,Yes,0
Row43210,Sale,7.1,13.6,0.0,2.4,3.9,WSW,57,WNW,W,30,24,71,85,1018.2,1017.5,2,6,11.5,11.7,No,0
Row43211,Sale,4.4,12.3,0.8,1.0,6.5,W,35,WNW,W,19,15,88,73,1024.9,1024.9,3,4,7.4,11.1,No,0
Row43212,Sale,7.4,13.2,0.4,0.8,0.8,WNW,31,WNW,W,17,17,84,66,1031.2,1030.7,6,5,9.4,12.2,No,0
Row43213,Sale,1.3,14.8,0.0,1.0,8.9,W,17,WNW,E,11,7,91,43,1034.3,1031.8,3,,6.8,13.7,No,0
Row43214,Sale,1.8,16.8,0.0,0.8,3.7,W,80,NW,W,24,39,63,62,1003.1,1004.4,7,8,14.7,11.2,No,1
Row43215,Sale,5.0,14.9,1.8,2.4,8.0,NW,54,WNW,NNW,15,33,73,46,1014.6,1011.9,2,5,9.2,14.4,Yes,1
Row43216,Sale,8.9,15.3,2.0,3.6,4.7,W,56,W,W,24,30,69,60,1015.7,1016.5,4,6,12.1,14.0,Yes,0
Row43217,Sale,0.9,14.6,0.8,0.8,8.2,WNW,17,NW,WNW,11,13,97,50,1034.7,1034.0,2,4,4.6,13.9,No,0
Row43218,Sale,-0.8,12.9,0.2,1.0,5.3,ESE,17,NA,E,0,9,98,66,1037.3,1032.7,8,4,1.7,12.8,No,0
Row43219,Sale,0.3,16.1,0.0,0.6,6.3,E,20,WNW,ESE,6,9,99,69,1027.8,1022.7,5,6,3.6,14.6,No,0
Row43220,Sale,3.6,12.1,0.0,0.4,0.0,W,43,NW,S,7,13,87,95,1017.6,1014.9,7,8,9.8,11.6,No,1
Row43221,Sale,6.9,12.6,12.4,1.4,5.6,W,41,W,SW,17,22,86,88,1020.9,1021.1,2,6,8.2,9.1,Yes,1
Row43222,Sale,4.2,11.7,4.6,1.8,5.5,W,33,W,W,15,24,91,67,1024.1,1021.7,3,5,6.8,10.5,Yes,0
Row43223,Sale,-1.9,12.3,0.0,0.8,7.0,NW,43,WNW,NW,9,24,96,48,1019.4,1015.8,3,7,0.2,10.7,No,0
Row43224,Sale,0.2,13.5,0.0,3.2,5.2,NW,46,NE,NW,9,28,60,43,1015.3,1014.3,3,5,6.8,11.9,No,0
Row43225,Sale,2.9,12.2,0.4,0.0,2.1,NNW,26,N,WNW,6,15,82,58,1016.8,1016.0,7,4,6.1,12.0,No,0
Row43226,Sale,-1.1,13.6,0.0,1.2,5.4,W,28,WNW,SW,4,9,96,54,1025.7,1022.5,1,6,1.2,12.4,No,0
Row43227,Sale,1.2,13.4,0.0,0.8,8.7,W,41,WNW,W,19,30,86,71,1028.5,1028.5,2,3,8.8,12.2,No,0
Row43228,Sale,0.1,13.5,0.0,0.8,8.8,WNW,17,WNW,ESE,7,11,97,52,1027.3,1023.1,2,1,3.0,12.8,No,0
Row43229,Sale,0.5,12.4,0.0,1.4,5.0,W,33,NW,W,15,19,95,63,1021.5,1020.2,6,3,4.8,12.2,No,0
Row43230,Sale,0.3,13.8,0.2,0.8,5.7,ESE,19,NW,ESE,4,15,95,56,1029.8,1027.8,7,4,6.0,13.4,No,0
Row43231,Sale,0.1,12.4,0.2,0.8,6.8,E,20,WNW,E,6,15,98,66,1031.0,1027.6,8,1,1.7,12.2,No,0
Row43232,Sale,-0.4,13.7,0.2,1.4,0.8,ENE,22,E,ENE,7,15,93,71,1020.4,1015.4,7,,6.5,11.7,No,0
Row43233,Sale,-0.2,16.0,0.0,2.4,8.8,ESE,19,NNE,E,2,11,91,42,1022.3,1019.3,1,1,5.5,15.5,No,0
Row43234,Sale,6.3,12.4,1.0,2.6,5.7,W,50,WNW,W,20,17,83,70,1018.1,1020.7,3,6,8.4,11.6,No,0
Row43235,Sale,8.1,13.5,0.4,1.2,4.1,W,43,W,WSW,15,19,83,70,1026.9,1025.6,6,7,10.0,12.4,No,0
Row43236,Sale,-1.1,14.8,0.0,1.2,7.3,NW,54,N,NW,9,39,81,40,1017.8,1014.5,2,4,4.9,14.1,No,0
Row43237,Sale,4.9,13.6,0.0,2.6,6.8,WSW,35,W,S,17,7,87,56,1018.6,1018.5,6,4,9.0,12.1,No,0
Row43238,Sale,-1.8,13.3,0.0,1.0,6.5,W,37,NNW,WSW,9,17,,57,1023.6,1022.3,5,7,0.8,12.9,No,0
Row43239,Sale,1.9,14.6,0.0,1.4,8.6,WSW,31,WNW,W,17,19,88,61,1031.4,1029.6,2,5,6.0,14.1,No,1
Row43240,Sale,1.3,14.2,1.8,1.2,7.8,W,39,WNW,W,13,24,89,48,1035.1,1033.8,6,3,6.2,13.8,Yes,0
Row43241,Sale,0.1,15.5,0.2,2.2,8.2,WNW,22,NW,ENE,13,7,85,60,1036.0,1032.1,3,6,5.9,14.3,No,0
Row43242,Sale,2.0,17.6,0.0,0.6,4.1,WSW,17,WNW,WNW,11,11,97,64,1016.9,1012.7,7,6,6.0,16.6,No,0
Row43243,Sale,3.1,15.5,0.2,1.2,8.0,W,65,WNW,WSW,7,28,78,66,1009.3,1010.8,4,4,11.6,14.3,No,1
Row43244,Sale,5.7,12.7,1.8,2.6,4.0,WNW,61,N,W,13,24,67,63,1010.8,1010.5,5,5,11.2,11.5,Yes,1
Row43245,Sale,4.8,12.7,9.0,3.2,0.0,SSW,59,W,SW,22,33,90,63,1019.6,1022.3,8,7,8.6,12.5,Yes,0
Row43246,Sale,5.1,12.7,0.0,2.2,4.9,W,59,WNW,W,31,43,66,66,1016.1,1015.5,7,3,9.0,11.3,No,0
Row43247,Sale,4.8,14.4,0.0,1.8,7.0,W,35,WNW,WSW,22,15,87,50,1023.0,1022.3,2,3,8.2,14.0,No,0
Row43248,Sale,-0.4,13.0,0.0,0.8,7.0,ESE,26,WNW,E,9,19,100,45,1026.3,1022.3,4,4,3.9,12.6,No,0
Row43249,Sale,-1.7,14.9,0.2,1.8,9.0,N,19,WNW,N,7,2,91,42,1020.4,1017.2,1,1,3.6,14.2,No,0
Row43250,Sale,-1.4,14.3,0.2,1.8,8.4,E,20,NW,ESE,7,11,94,39,1022.2,1019.5,4,1,3.5,13.9,No,0
Row43251,Sale,1.1,10.5,0.0,1.6,0.2,ESE,26,NNW,WNW,6,13,92,96,1017.6,1010.6,7,8,4.4,9.5,No,1
Row43252,Sale,1.0,14.1,8.4,1.0,4.1,SSW,31,N,SE,7,9,95,65,1003.5,998.5,2,8,6.5,13.1,Yes,1
Row43253,Sale,3.0,15.0,0.6,2.6,6.6,W,28,W,S,15,7,87,51,1016.1,1013.1,6,2,9.9,13.8,No,0
Row43254,Sale,6.2,17.0,0.0,2.4,3.1,W,61,NA,WNW,0,30,76,62,999.5,999.4,5,8,10.9,14.5,No,0
Row43255,Sale,0.6,15.2,0.0,3.0,0.0,ENE,30,NA,ENE,0,13,97,73,1013.5,1003.7,7,7,3.5,10.0,No,0
Row43256,Sale,3.7,13.2,1.8,4.2,7.1,WNW,72,NW,NW,33,37,50,44,1008.3,1007.6,2,4,9.3,11.5,Yes,0
Row43257,Sale,7.3,14.2,0.2,4.0,8.0,WNW,67,WNW,WNW,31,41,56,46,1013.1,1013.5,3,6,11.5,13.3,No,0
Row43258,Sale,0.3,17.1,0.0,2.8,8.5,NE,28,NW,NW,7,9,71,36,1015.2,1010.4,3,5,9.9,16.4,No,0
Row43259,Sale,2.0,13.0,4.6,5.4,8.3,NW,72,NW,NW,35,43,54,46,1003.9,997.5,1,5,8.8,11.3,Yes,0
Row43260,Sale,3.5,13.7,0.0,4.8,7.0,W,63,NW,W,17,39,64,42,997.3,996.7,7,5,8.4,13.0,No,0
Row43261,Sale,5.0,12.9,0.2,3.8,9.0,W,59,W,W,30,39,70,46,1006.8,1009.7,2,5,8.7,12.4,No,0
Row43262,Sale,3.4,14.5,0.0,1.2,3.4,W,30,WNW,W,15,19,86,76,1029.3,1027.1,6,7,9.8,12.5,No,0
Row43263,Sale,2.1,16.1,0.2,1.6,9.2,WNW,30,WNW,NW,13,13,100,38,1028.1,1024.1,5,1,6.0,15.4,No,0
Row43264,Sale,1.0,15.4,0.0,2.8,1.7,W,31,N,N,11,11,74,59,1021.5,1016.1,6,8,9.8,15.1,No,0
Row43265,Sale,9.5,12.5,0.8,0.4,0.0,WSW,31,WNW,WSW,7,11,85,92,1013.3,1013.7,8,8,12.0,11.9,No,1
Row43266,Sale,6.5,14.5,2.0,0.2,7.6,W,35,W,SW,13,20,72,49,1019.3,1019.7,3,5,10.6,12.7,Yes,0
Row43267,Sale,-0.8,15.7,0.0,2.4,7.3,E,46,ENE,E,11,28,75,64,1024.7,1018.3,5,6,8.3,14.1,No,1
Row43268,Sale,6.9,14.9,0.2,3.2,9.0,W,56,W,W,24,31,66,44,1017.7,1016.8,2,2,10.8,14.1,No,0
Row43269,Sale,5.4,14.2,0.4,4.2,5.5,W,30,W,ESE,17,20,81,62,1026.5,1025.6,2,4,10.4,12.7,No,0
Row43270,Sale,-0.7,15.1,0.2,2.8,9.8,ESE,30,N,ESE,6,13,81,38,1027.0,1021.1,2,2,7.9,14.7,No,1
Row43271,Sale,5.3,16.5,2.0,1.6,0.5,W,26,NE,NE,9,6,77,62,1012.2,1007.1,6,8,11.7,16.1,Yes,1
Row43272,Sale,4.7,13.9,1.6,0.8,4.5,W,63,WSW,W,7,37,85,69,1000.3,1003.2,7,6,11.7,11.6,Yes,1
Row43273,Sale,3.3,16.5,2.2,2.0,9.2,W,50,W,WSW,19,31,55,41,1016.3,1015.9,2,3,13.0,16.1,Yes,0
Row43274,Sale,2.5,17.1,0.0,3.8,5.7,NW,43,NW,WNW,11,20,66,43,1020.4,1015.6,1,5,12.0,16.0,No,0
Row43275,Sale,4.8,15.4,0.0,3.0,7.1,W,50,W,W,20,35,61,62,1013.1,1013.7,7,4,13.8,14.6,No,0
Row43276,Sale,2.9,14.8,0.0,2.8,9.5,ESE,31,NNW,ESE,9,19,67,50,1017.6,1012.8,3,1,10.3,13.8,No,0
Row43277,Sale,4.2,15.5,0.0,3.2,6.1,W,74,WNW,WSW,43,28,53,82,1011.7,1010.5,3,7,12.5,11.9,No,0
Row43278,Sale,6.1,13.4,1.4,2.2,2.5,WNW,69,W,W,33,41,70,60,1021.7,1020.0,7,6,10.3,13.0,Yes,0
Row43279,Sale,7.8,14.7,0.0,3.0,3.9,W,46,W,W,24,30,69,57,1022.8,1020.9,3,5,12.1,13.7,No,0
Row43280,Sale,10.2,16.0,0.0,3.4,1.9,W,44,W,W,28,17,79,61,1026.7,1027.2,6,6,13.2,14.2,No,0
Row43281,Sale,9.1,16.5,0.0,4.2,5.4,WSW,48,W,W,20,31,61,56,1025.7,1022.6,7,3,11.8,15.3,No,0
Row43282,Sale,4.9,16.7,0.0,3.6,6.9,WSW,43,W,W,26,19,66,53,1022.4,1017.3,7,2,11.3,16.3,No,0
Row43283,Sale,5.0,22.0,0.0,3.8,5.4,W,59,NW,WSW,19,28,56,51,1008.2,1006.7,7,6,15.7,17.0,No,0
Row43284,Sale,6.1,15.1,0.4,5.6,9.6,WSW,70,W,W,46,48,37,44,1012.5,1011.9,2,2,12.1,13.1,No,0
Row43285,Sale,3.8,13.8,0.2,5.0,9.5,WSW,56,W,SW,33,30,62,70,1021.2,1021.2,2,4,9.2,9.6,No,1
Row43286,Sale,4.2,17.2,0.0,3.2,9.5,ESE,33,W,SE,9,20,67,37,1027.7,1025.9,6,2,11.9,15.8,No,0
Row43287,Sale,5.3,22.9,0.2,3.6,8.3,E,33,ENE,E,6,26,99,42,1029.0,1024.6,8,1,9.4,22.3,No,0
Row43288,Sale,5.3,25.8,0.0,4.6,9.7,E,33,S,E,6,24,94,41,1022.6,1018.1,1,4,12.4,23.4,No,0
Row43289,Sale,9.6,28.5,0.0,2.8,5.6,W,76,NE,WNW,11,11,76,45,1017.8,1011.4,1,6,15.5,26.1,No,1
Row43290,Sale,7.4,15.0,6.6,4.2,9.1,W,67,WNW,W,31,43,73,49,1020.8,1020.4,5,4,10.4,13.9,Yes,0
Row43291,Sale,8.4,18.0,0.6,5.2,9.7,W,52,W,W,22,28,76,53,1024.2,1023.7,5,6,12.1,16.7,No,0
Row43292,Sale,1.7,19.6,0.0,4.6,9.1,SSE,35,WNW,SE,11,19,82,55,1026.8,1025.1,1,3,9.7,17.1,No,0
Row43293,Sale,6.8,19.5,0.0,3.4,10.9,E,56,ENE,E,28,39,71,55,1031.8,1029.7,1,1,14.3,18.4,No,0
Row43294,Sale,5.0,25.5,0.0,5.8,10.3,E,37,N,E,6,24,87,25,1030.2,1025.5,1,1,12.8,24.6,No,0
Row43295,Sale,8.8,26.4,0.0,5.2,4.0,WNW,39,NNE,WNW,7,30,65,46,1023.8,1019.9,7,7,17.6,23.5,No,1
Row43296,Sale,13.4,19.5,1.2,3.8,0.1,S,31,WSW,SE,7,15,88,91,1016.7,1013.7,8,8,15.9,16.2,Yes,1
Row43297,Sale,11.7,13.8,5.6,3.4,0.0,W,54,E,WSW,19,26,96,91,992.1,987.1,8,8,13.7,12.2,Yes,1
Row43298,Sale,6.1,15.7,1.0,3.0,6.1,W,72,W,W,39,37,67,62,1012.1,1012.7,6,7,12.1,14.5,No,0
Row43299,Sale,9.2,17.1,0.0,5.6,8.5,W,70,WNW,W,41,43,49,47,1017.2,1017.2,4,2,12.6,15.9,No,0
Row43300,Sale,5.9,27.8,0.2,3.6,11.5,ENE,39,N,E,7,13,74,30,1018.4,1013.0,2,3,14.9,27.7,No,1
Row43301,Sale,3.4,16.9,0.4,5.0,10.5,ESE,31,NW,ESE,9,20,60,53,1023.9,1022.1,1,3,11.3,15.6,No,0
Row43302,Sale,6.3,24.3,0.0,5.0,7.6,SSE,56,NW,NW,11,15,82,35,1015.3,1012.3,7,6,14.7,22.1,No,1
Row43303,Sale,9.0,18.7,1.6,4.6,10.5,SE,35,W,ESE,15,19,71,56,1019.3,1018.6,2,4,13.6,17.9,Yes,0
Row43304,Sale,8.3,19.6,0.0,3.8,12.7,E,46,E,E,24,33,63,49,1021.3,1017.8,1,1,14.5,18.6,No,0
Row43305,Sale,11.3,22.3,0.4,5.6,0.0,W,50,NA,E,0,24,93,82,1007.3,1005.1,8,8,17.0,20.2,No,1
Row43306,Sale,5.0,19.6,0.4,2.6,11.1,W,52,WNW,W,19,31,77,64,1016.7,1014.9,3,5,12.4,16.9,No,0
Row43307,Sale,9.5,15.5,0.0,5.2,5.5,NA,,W,SSE,19,17,61,66,1020.7,1020.3,6,6,12.5,12.9,No,0
Row43308,Sale,5.1,17.5,0.4,1.6,7.3,E,48,NNE,E,6,31,74,45,1025.1,1023.8,7,3,10.9,16.0,No,0
Row43309,Sale,10.4,18.1,0.0,6.0,10.4,ESE,50,NE,E,19,31,57,38,1027.3,1024.5,5,2,14.2,18.1,No,0
Row43310,Sale,4.9,20.4,0.0,7.4,13.0,E,54,ENE,E,19,39,58,49,1024.4,1020.3,1,1,14.5,18.7,No,1
Row43311,Sale,9.4,26.6,0.0,6.8,12.9,E,43,ENE,E,11,33,57,35,1024.2,1020.3,1,1,17.8,25.0,No,0
Row43312,Sale,10.0,29.2,0.0,7.0,2.0,WNW,46,NA,SW,0,9,66,58,1015.3,1013.0,7,7,19.6,25.0,No,0
Row43313,Sale,10.3,22.1,0.2,3.4,7.6,E,37,E,E,11,24,86,57,1014.8,1010.3,7,5,15.5,20.4,No,0
Row43314,Sale,13.4,35.7,0.0,4.0,5.5,NW,56,N,WNW,17,26,72,26,1006.1,1004.5,7,4,20.9,33.1,No,0
Row43315,Sale,11.4,18.5,0.2,3.8,2.7,WNW,39,W,WSW,17,7,68,44,1016.0,1014.9,5,6,13.7,17.5,No,0
Row43316,Sale,5.2,22.4,0.0,3.6,12.5,SE,37,W,WSW,11,17,57,29,1017.3,1013.4,1,1,14.6,21.8,No,0
Row43317,Sale,7.6,21.5,0.0,6.6,7.2,WSW,57,NW,SSW,13,22,65,67,1013.8,1015.0,5,8,17.3,15.7,No,0
Row43318,Sale,5.5,22.2,0.0,6.4,12.8,SE,41,SW,SE,9,24,75,54,1025.6,1022.7,1,1,14.4,20.6,No,0
Row43319,Sale,9.1,20.3,0.0,6.2,6.1,ESE,39,NNW,SE,11,24,86,63,1025.0,1022.9,8,5,13.3,18.8,No,0
Row43320,Sale,12.9,30.7,0.0,3.0,12.7,E,39,ENE,E,6,26,65,31,1021.6,1017.8,1,2,19.0,29.6,No,0
Row43321,Sale,12.1,34.4,0.0,7.4,11.0,E,44,NNW,W,9,11,43,20,1019.6,1016.5,1,3,25.2,33.4,No,0
Row43322,Sale,14.6,33.3,0.0,9.4,8.6,NW,41,N,WNW,7,26,49,25,1018.3,1015.7,6,7,25.4,32.7,No,0
Row43323,Sale,15.8,21.5,2.4,2.2,0.0,E,37,ENE,ESE,13,19,85,78,1018.0,1015.6,7,7,17.4,19.5,Yes,0
Row43324,Sale,15.7,29.1,0.2,2.4,6.5,SW,44,NNE,E,4,30,87,63,1011.5,1005.6,5,6,18.9,24.0,No,1
Row43325,Sale,14.5,22.4,2.2,1.0,1.8,E,52,E,E,30,39,93,71,1018.1,1015.6,8,7,18.1,21.6,Yes,0
Row43326,Sale,15.9,25.6,0.2,2.6,5.4,E,48,NE,E,9,37,85,67,1016.0,1012.4,8,6,18.6,23.6,No,1
Row43327,Sale,15.3,29.6,16.8,4.0,12.4,SE,37,NNW,SE,9,24,66,49,1009.9,1008.8,3,5,23.1,26.7,Yes,0
Row43328,Sale,17.3,23.1,0.0,2.8,4.1,E,61,E,E,37,46,83,70,1015.1,1013.2,8,3,18.3,21.9,No,0
Row43329,Sale,17.3,27.1,0.0,5.8,8.7,E,56,ENE,E,11,33,73,58,1010.5,1007.0,5,7,21.4,25.7,No,1
Row43330,Sale,20.1,30.1,2.6,5.8,1.1,W,52,NE,NNE,17,15,75,56,1005.2,1002.7,7,8,24.9,28.0,Yes,1
Row43331,Sale,15.8,20.2,36.4,1.8,1.3,E,31,ESE,ENE,9,13,86,69,1010.1,1007.7,8,8,17.1,19.5,Yes,0
Row43332,Sale,13.3,19.9,0.6,3.4,11.3,WSW,72,WSW,WSW,39,39,56,36,1008.1,1006.2,3,2,16.3,19.0,No,0
Row43333,Sale,11.4,22.3,1.4,7.2,11.1,SW,35,WNW,WSW,13,15,52,37,1014.7,1013.8,1,5,15.9,21.6,Yes,0
Row43334,Sale,11.3,23.1,0.0,5.6,11.0,E,35,E,SE,4,24,74,57,1016.4,1011.8,6,4,17.9,22.3,No,0
Row43335,Sale,13.2,29.9,0.0,5.8,5.5,S,44,SE,SSW,2,13,67,58,1004.8,1003.3,5,8,22.6,23.6,No,1
Row43336,Sale,9.5,19.0,1.0,4.0,8.1,WSW,56,NW,WSW,11,30,67,51,1000.1,1000.9,5,5,16.1,17.8,No,1
Row43337,Sale,10.1,20.4,12.0,5.2,8.3,WSW,67,WSW,W,31,41,70,49,999.3,1001.0,5,4,15.6,18.4,Yes,0
Row43338,Sale,10.3,18.4,0.2,6.6,7.3,W,57,W,W,37,37,68,54,,1010.5,5,7,14.3,16.3,No,0
Row43339,Sale,5.4,21.0,0.8,4.4,13.2,E,35,WNW,ESE,13,24,62,48,1019.8,1016.6,1,1,13.4,19.6,No,0
Row43340,Sale,14.2,21.7,0.0,3.2,5.4,W,41,SW,SW,19,22,57,59,1007.4,1005.1,5,7,17.3,18.8,No,0
Row43341,Sale,3.0,19.6,0.4,4.6,13.3,E,41,WNW,ESE,13,28,60,39,1019.6,1017.1,1,3,13.0,18.4,No,0
Row43342,Sale,7.9,30.5,0.0,6.4,13.2,SE,52,NW,WSW,11,24,64,19,1013.6,1010.9,1,2,17.1,29.6,No,0
Row43343,Sale,11.2,38.1,0.0,6.4,11.7,NNW,52,E,E,19,20,77,41,1012.8,1006.6,1,4,19.0,31.3,No,0
Row43344,Sale,18.8,24.7,0.0,9.4,7.6,WSW,48,W,SW,30,13,63,56,1009.9,1010.4,4,7,20.4,22.1,No,0
Row43345,Sale,15.1,22.3,0.0,5.4,6.6,SSE,39,SW,ESE,13,20,56,42,1015.8,1015.2,8,3,16.6,21.3,No,0
Row43346,Sale,12.8,21.7,0.0,8.0,10.4,SE,35,SW,ESE,13,22,51,41,1017.4,1015.8,3,5,15.5,20.2,No,0
